time, datetime_utc, mode, layer, level, winner_team, winner_faction, winner_subfaction, winner_tickets, loser_team, loser_faction, loser_subfaction, loser_tickets
"Sun Oct 02 2022 07:38:11 GMT-0400 (Eastern Daylight Time)","2022-10-02 11:38:11", "RAAS", "Mutaha RAAS v1", "Mutaha", "1", "United States Army", "US Brigade Combat Team", "88", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sun Oct 02 2022 08:35:58 GMT-0400 (Eastern Daylight Time)","2022-10-02 12:35:58", "RAAS", "Black Coast RAAS v1", "Black Coast", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "112", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "0"
"Sun Oct 02 2022 09:20:27 GMT-0400 (Eastern Daylight Time)","2022-10-02 13:20:27", "RAAS", "Kokan RAAS v1", "Kokan", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "94", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 02 2022 09:59:45 GMT-0400 (Eastern Daylight Time)","2022-10-02 13:59:45", "RAAS", "Narva RAAS v1", "Narva", "1", "United States Army", "US Brigade Combat Team", "137", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 02 2022 10:39:03 GMT-0400 (Eastern Daylight Time)","2022-10-02 14:39:03", "RAAS", "Sumari Bala RAAS v2", "Sumari Bala", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "36", "1", "British Army", "British Armed Forces", "0"
"Sun Oct 02 2022 11:42:12 GMT-0400 (Eastern Daylight Time)","2022-10-02 15:42:12", "RAAS", "Goose Bay RAAS v1", "Goose Bay", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "23", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Sun Oct 02 2022 12:32:50 GMT-0400 (Eastern Daylight Time)","2022-10-02 16:32:50", "RAAS", "Belaya RAAS v1", "Belaya Pass", "2", "Russian Ground Forces", "Russian battalion tactical group", "119", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 02 2022 13:13:24 GMT-0400 (Eastern Daylight Time)","2022-10-02 17:13:24", "RAAS", "Kokan RAAS v4", "Kokan", "2", "Middle Eastern Alliance", "MEA Vizir Hussein 2nd Support Battalion", "55", "1", "Canadian Army", "CAF 3rd Battallion PPCLI Infantry Platoon", "0"
"Sun Oct 02 2022 13:39:54 GMT-0400 (Eastern Daylight Time)","2022-10-02 17:39:54", "TC", "Kamdesh TC v4", "Kamdesh Highlands", "1", "Canadian Army", "CAF Royal 22e Régiment Mechanized Platoon", "366", "2", "Insurgent Forces", "Local Insurgent Cell", "0"
"Sun Oct 02 2022 14:15:28 GMT-0400 (Eastern Daylight Time)","2022-10-02 18:15:28", "RAAS", "Fallujah RAAS v1", "Fallujah", "2", "Middle Eastern Alliance", "MEA 3rd King Qadesh Mechanized Infantry Brigade", "101", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "0"
"Sun Oct 02 2022 15:09:18 GMT-0400 (Eastern Daylight Time)","2022-10-02 19:09:18", "RAAS", "Black Coast RAAS v1", "Black Coast", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "14", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "0"
"Sun Oct 02 2022 15:49:59 GMT-0400 (Eastern Daylight Time)","2022-10-02 19:49:59", "RAAS", "Narva RAAS v4", "Narva", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "151", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Sun Oct 02 2022 16:27:38 GMT-0400 (Eastern Daylight Time)","2022-10-02 20:27:38", "RAAS", "Fallujah RAAS v4", "Fallujah", "1", "Australian Defence Force", "ADF 3rd Brigade", "67", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Sun Oct 02 2022 17:12:41 GMT-0400 (Eastern Daylight Time)","2022-10-02 21:12:41", "AAS", "Mutaha AAS v3", "Mutaha", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "72", "1", "Australian Defence Force", "ADF 5th Battalion, Royal Australian Regiment", "0"
"Sun Oct 02 2022 17:51:08 GMT-0400 (Eastern Daylight Time)","2022-10-02 21:51:08", "AAS", "Belaya AAS v3", "Belaya Pass", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "122", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "0"
"Sun Oct 02 2022 18:38:47 GMT-0400 (Eastern Daylight Time)","2022-10-02 22:38:47", "RAAS", "Fool's Road RAAS v4", "Fool's Road", "1", "Australian Defence Force", "ADF 5th Battalion, Royal Australian Regiment", "175", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Sun Oct 02 2022 19:19:37 GMT-0400 (Eastern Daylight Time)","2022-10-02 23:19:37", "RAAS", "Gorodok RAAS v6", "Gorodok", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "217", "1", "United States Marine Corps", "USMC 1st Battalion, 1st Marines", "0"
"Sun Oct 02 2022 19:55:26 GMT-0400 (Eastern Daylight Time)","2022-10-02 23:55:26", "RAAS", "Logar RAAS v2", "Logar Valley", "2", "Middle Eastern Alliance", "MEA 1st Battalion, Legion of Babylon", "409", "1", "Canadian Army", "CAF 3rd Battallion PPCLI Infantry Platoon", "0"
"Sun Oct 02 2022 20:38:56 GMT-0400 (Eastern Daylight Time)","2022-10-03 00:38:56", "AAS", "Skorpo AAS v1", "Skorpo", "2", "Russian Ground Forces", "Russian battalion tactical group", "126", "1", "United States Army", "US Brigade Combat Team", "0"
"Sun Oct 02 2022 21:13:14 GMT-0400 (Eastern Daylight Time)","2022-10-03 01:13:14", "RAAS", "Narva RAAS v3", "Narva", "1", "Canadian Army", "CAF 3rd Battallion PPCLI Infantry Platoon", "144", "2", "Irregular Militia Forces", "The Peoples' Front Militia Mechanized Platoon", "0"
"Sun Oct 02 2022 21:51:51 GMT-0400 (Eastern Daylight Time)","2022-10-03 01:51:51", "RAAS", "Belaya RAAS v2", "Belaya Pass", "2", "Irregular Militia Forces", "United Liberation Force Militia", "213", "1", "United States Marine Corps", "USMC 3rd Light Armored Recon Battalion", "0"
"Sun Oct 02 2022 22:40:38 GMT-0400 (Eastern Daylight Time)","2022-10-03 02:40:38", "AAS", "Yehorivka AAS v1", "Yehorivka", "1", "British Army", "British Armed Forces", "82", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Sun Oct 02 2022 23:01:14 GMT-0400 (Eastern Daylight Time)","2022-10-03 03:01:14", "AAS", "Chora AAS v4", "Chora", "2", "Russian Ground Forces", "Russian Battalion Tactical Group", "365", "1", "Australian Defence Force", "ADF 5th Battalion, Royal Australian Regiment", "0"
"Sun Oct 02 2022 23:33:24 GMT-0400 (Eastern Daylight Time)","2022-10-03 03:33:24", "RAAS", "Mutaha RAAS v1", "Mutaha", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "235", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 03 2022 00:26:36 GMT-0400 (Eastern Daylight Time)","2022-10-03 04:26:36", "RAAS", "Gorodok RAAS v2", "Gorodok", "1", "British Army", "British Armed Forces", "97", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Mon Oct 03 2022 00:57:08 GMT-0400 (Eastern Daylight Time)","2022-10-03 04:57:08", "RAAS", "Fallujah RAAS v1", "Fallujah", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "190", "2", "Middle Eastern Alliance", "MEA 3rd King Qadesh Mechanized Infantry Brigade", "0"
"Mon Oct 03 2022 01:47:26 GMT-0400 (Eastern Daylight Time)","2022-10-03 05:47:26", "RAAS", "Black Coast RAAS v1", "Black Coast", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "176", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Mon Oct 03 2022 02:25:55 GMT-0400 (Eastern Daylight Time)","2022-10-03 06:25:55", "AAS", "Narva AAS v2", "Narva", "1", "British Army", "British Armed Forces", "179", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Mon Oct 03 2022 03:10:16 GMT-0400 (Eastern Daylight Time)","2022-10-03 07:10:16", "RAAS", "Yehorivka RAAS v1", "Yehorivka", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "368", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Mon Oct 03 2022 03:46:32 GMT-0400 (Eastern Daylight Time)","2022-10-03 07:46:32", "RAAS", "Black Coast RAAS v3", "Black Coast", "2", "Russian Ground Forces", "RUS 205th Motorized Rifle Platoon", "197", "1", "British Army", "UK 3rd Battalion, The Rifles", "0"
"Mon Oct 03 2022 04:25:11 GMT-0400 (Eastern Daylight Time)","2022-10-03 08:25:11", "RAAS", "Kokan RAAS v1", "Kokan", "1", "United States Army", "US Brigade Combat Team", "183", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "0"
"Mon Oct 03 2022 04:38:01 GMT-0400 (Eastern Daylight Time)","2022-10-03 08:38:01", "AAS", "Gorodok AAS v2", "Gorodok", "2", "Russian Ground Forces", "Russian battalion tactical group", "300", "1", "British Army", "British Armed Forces", "294"
"Mon Oct 03 2022 13:34:01 GMT-0400 (Eastern Daylight Time)","2022-10-03 17:34:01", "Seed", "Sumari Bala Seed v1", "Sumari Bala", "1", "United States Army", "US Brigade Combat Team", "83", "2", "Russian Ground Forces", "Russian Battalion Tactical Group", "82"
"Mon Oct 03 2022 14:06:02 GMT-0400 (Eastern Daylight Time)","2022-10-03 18:06:02", "AAS", "Chora AAS v3", "Chora", "1", "United States Army", "US Brigade Combat Team", "297", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Mon Oct 03 2022 14:41:17 GMT-0400 (Eastern Daylight Time)","2022-10-03 18:41:17", "RAAS", "Mutaha RAAS v6", "Mutaha", "1", "United States Marine Corps", "USMC 3rd Battalion, 2nd Marines", "199", "2", "Middle Eastern Alliance", "MEA 1st Battalion, Legion of Babylon", "0"
"Mon Oct 03 2022 15:13:51 GMT-0400 (Eastern Daylight Time)","2022-10-03 19:13:51", "AAS", "Narva AAS v4", "Narva", "1", "United States Marine Corps", "USMC 3rd Battalion, 2nd Marines", "256", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Mon Oct 03 2022 15:51:19 GMT-0400 (Eastern Daylight Time)","2022-10-03 19:51:19", "RAAS", "Kohat Toi RAAS v1", "Kohat Toi", "2", "Russian Ground Forces", "Russian battalion tactical group", "168", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 03 2022 16:34:45 GMT-0400 (Eastern Daylight Time)","2022-10-03 20:34:45", "RAAS", "Fallujah RAAS v1", "Fallujah", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "40", "2", "Middle Eastern Alliance", "MEA 3rd King Qadesh Mechanized Infantry Brigade", "0"
"Mon Oct 03 2022 16:39:42 GMT-0400 (Eastern Daylight Time)","2022-10-03 20:39:42", "AAS", "Kohat Toi AAS v1", "Kohat Toi", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "300", "1", "United States Army", "US Brigade Combat Team", "299"
"Mon Oct 03 2022 17:37:25 GMT-0400 (Eastern Daylight Time)","2022-10-03 21:37:25", "RAAS", "Black Coast RAAS v2", "Black Coast", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "82", "2", "Irregular Militia Forces", "The Peoples' Front Militia Mechanized Platoon", "0"
"Mon Oct 03 2022 18:24:05 GMT-0400 (Eastern Daylight Time)","2022-10-03 22:24:05", "AAS", "Lashkar AAS v1", "Lashkar Valley", "1", "British Army", "British Armed Forces", "200", "2", "Russian Ground Forces", "Russian battalion tactical group", "0"
"Mon Oct 03 2022 19:04:42 GMT-0400 (Eastern Daylight Time)","2022-10-03 23:04:42", "AAS", "Narva AAS v1", "Narva", "2", "Russian Ground Forces", "Russian battalion tactical group", "1", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 03 2022 19:12:40 GMT-0400 (Eastern Daylight Time)","2022-10-03 23:12:40", "RAAS", "Kokan RAAS v1", "Kokan", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "249", "1", "United States Army", "US Brigade Combat Team", "248"
"Mon Oct 03 2022 19:51:15 GMT-0400 (Eastern Daylight Time)","2022-10-03 23:51:15", "RAAS", "Kokan RAAS v1", "Kokan", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "72", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 03 2022 20:11:46 GMT-0400 (Eastern Daylight Time)","2022-10-04 00:11:46", "TC", "Mutaha TC v1", "Mutaha", "2", "Russian Ground Forces", "Russian battalion tactical group", "201", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 03 2022 20:33:39 GMT-0400 (Eastern Daylight Time)","2022-10-04 00:33:39", "Invasion", "Black Coast Invasion v3", "Black Coast", "2", "Irregular Militia Forces", "The Peoples' Front Militia", "698", "1", "Canadian Army", "CAF 3rd Battalion RCR Air Assault Platoon", "0"
"Mon Oct 03 2022 22:08:26 GMT-0400 (Eastern Daylight Time)","2022-10-04 02:08:26", "RAAS", "Yehorivka RAAS v2", "Yehorivka", "2", "Russian Ground Forces", "Russian battalion tactical group", "4", "1", "United States Army", "US Brigade Combat Team", "0"
"Mon Oct 03 2022 22:52:09 GMT-0400 (Eastern Daylight Time)","2022-10-04 02:52:09", "RAAS", "Gorodok RAAS v8", "Gorodok", "1", "Australian Defence Force", "ADF 1st Battalion, Royal Australian Regiment", "211", "2", "Irregular Militia Forces", "Allied Republican Army Militia", "0"
"Mon Oct 03 2022 23:33:02 GMT-0400 (Eastern Daylight Time)","2022-10-04 03:33:02", "AAS", "Fallujah AAS v2", "Fallujah", "2", "Middle Eastern Alliance", "MEA Combined Arms Battalion", "137", "1", "United States Marine Corps", "USMC 31st Marine Expeditionary Unit", "0"
"Tue Oct 04 2022 00:17:23 GMT-0400 (Eastern Daylight Time)","2022-10-04 04:17:23", "RAAS", "Belaya RAAS v1", "Belaya Pass", "2", "Russian Ground Forces", "Russian battalion tactical group", "210", "1", "United States Army", "US Brigade Combat Team", "0"
"Tue Oct 04 2022 00:55:36 GMT-0400 (Eastern Daylight Time)","2022-10-04 04:55:36", "RAAS", "Narva RAAS v4", "Narva", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "43", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Tue Oct 04 2022 01:40:33 GMT-0400 (Eastern Daylight Time)","2022-10-04 05:40:33", "RAAS", "Black Coast RAAS v1", "Black Coast", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "107", "1", "United States Marine Corps", "USMC 4th Assault Amphibian Battalion", "0"
"Tue Oct 04 2022 02:27:25 GMT-0400 (Eastern Daylight Time)","2022-10-04 06:27:25", "RAAS", "Mutaha RAAS v2", "Mutaha", "1", "Australian Defence Force", "ADF 3rd Brigade", "35", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "0"
"Tue Oct 04 2022 03:12:56 GMT-0400 (Eastern Daylight Time)","2022-10-04 07:12:56", "RAAS", "Yehorivka RAAS v1", "Yehorivka", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "335", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "0"
"Tue Oct 04 2022 05:18:27 GMT-0400 (Eastern Daylight Time)","2022-10-04 09:18:27", "RAAS", "Chora RAAS v1", "Chora", "1", "United States Army", "US Brigade Combat Team", "340", "2", "Russian Ground Forces", "Russian battalion tactical group", "293"
"Tue Oct 04 2022 15:11:26 GMT-0400 (Eastern Daylight Time)","2022-10-04 19:11:26", "Seed", "Tallil Outskirts Seed v2", "Tallil Outskirts", "2", "Insurgent Forces", "Local Insurgent Cell", "36", "1", "Canadian Army", "CAF Royal Westminster Regiment", "12"
"Tue Oct 04 2022 15:51:22 GMT-0400 (Eastern Daylight Time)","2022-10-04 19:51:22", "AAS", "Narva AAS v4", "Narva", "1", "United States Marine Corps", "USMC 3rd Battalion, 2nd Marines", "54", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Tue Oct 04 2022 16:08:06 GMT-0400 (Eastern Daylight Time)","2022-10-04 20:08:06", "Invasion", "Kamdesh Invasion v6", "Kamdesh Highlands", "2", "Middle Eastern Alliance", "MEA 4th Border Guards Group", "760", "1", "Australian Defence Force", "ADF 3rd Brigade", "0"
"Tue Oct 04 2022 16:48:39 GMT-0400 (Eastern Daylight Time)","2022-10-04 20:48:39", "RAAS", "Kohat Toi RAAS v2", "Kohat Toi", "1", "United States Marine Corps", "USMC 1st Battalion, 5th Marines", "233", "2", "Russian Ground Forces", "RUS 205th Motorized Rifle Platoon", "0"
"Tue Oct 04 2022 17:34:25 GMT-0400 (Eastern Daylight Time)","2022-10-04 21:34:25", "AAS", "Chora AAS v5", "Chora", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "66", "1", "Canadian Army", "CAF 3rd Battallion PPCLI Infantry Platoon", "0"
"Tue Oct 04 2022 18:18:48 GMT-0400 (Eastern Daylight Time)","2022-10-04 22:18:48", "RAAS", "Mutaha RAAS v2", "Mutaha", "2", "Russian Ground Forces", "RUS 205th Detached Mechanized Cossacks Brigade", "84", "1", "Australian Defence Force", "ADF 3rd Brigade", "0"
"Tue Oct 04 2022 18:56:29 GMT-0400 (Eastern Daylight Time)","2022-10-04 22:56:29", "AAS", "Gorodok AAS v1", "Gorodok", "2", "Russian Ground Forces", "Russian battalion tactical group", "227", "1", "United States Army", "US Brigade Combat Team", "0"
"Tue Oct 04 2022 19:48:29 GMT-0400 (Eastern Daylight Time)","2022-10-04 23:48:29", "RAAS", "Goose Bay RAAS v1", "Goose Bay", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "19", "2", "Russian Ground Forces", "RUS 49th Combined Arms Army", "0"
"Tue Oct 04 2022 20:31:21 GMT-0400 (Eastern Daylight Time)","2022-10-05 00:31:21", "RAAS", "Manic-5 RAAS v1", "Manic-5", "2", "Russian Ground Forces", "Russian Battalion Tactical Group", "198", "1", "Canadian Army", "CAF 1 Canadian Mechanized Brigade Group", "0"
